section,rectangle,ROI,label,xcentroid,ycentroid,MajorAxis,MinorAxis,angle,circ.,AR,round,solidity
1,1,36,20210909_Xyln_01_1.tif,3.961,5.957,0.783,0.462,153.897,0.885,1.694,0.59,0.928
1,1,37,20210909_Xyln_01_1.tif,2.958,6.018,0.785,0.413,159.626,0.801,1.9,0.526,0.915
1,1,38,20210909_Xyln_01_1.tif,1.472,6.188,0.732,0.284,170.457,0.673,2.58,0.388,0.873
1,2,1,20210909_Xyln_01_2.tif,5.443,0.456,1.034,0.787,0.638,0.908,1.314,0.761,0.944
1,2,2,20210909_Xyln_01_2.tif,4.483,0.656,0.74,0.644,14.382,0.956,1.149,0.87,0.947
1,2,3,20210909_Xyln_01_2.tif,1.014,0.749,0.859,0.582,159.752,0.932,1.476,0.678,0.955
1,2,4,20210909_Xyln_01_2.tif,2.768,0.814,0.724,0.698,135.533,0.952,1.037,0.964,0.959
1,2,5,20210909_Xyln_01_2.tif,1.951,0.872,0.806,0.6,153.804,0.901,1.343,0.745,0.936
1,2,6,20210909_Xyln_01_2.tif,5.033,1.193,0.751,0.687,177.611,0.944,1.093,0.915,0.945
1,2,7,20210909_Xyln_01_2.tif,0.632,1.292,0.689,0.519,177.453,0.889,1.328,0.753,0.92
1,2,8,20210909_Xyln_01_2.tif,3.295,1.379,0.675,0.645,30.397,0.97,1.046,0.956,0.948
1,2,9,20210909_Xyln_01_2.tif,1.501,1.399,0.856,0.586,175.401,0.857,1.46,0.685,0.931
1,2,10,20210909_Xyln_01_2.tif,2.482,1.546,0.77,0.635,137.243,0.96,1.212,0.825,0.954
1,2,11,20210909_Xyln_01_2.tif,5.653,1.667,0.799,0.553,12.74,0.913,1.443,0.693,0.945
1,2,12,20210909_Xyln_01_2.tif,3.996,1.712,0.778,0.531,177.663,0.88,1.464,0.683,0.93
1,2,13,20210909_Xyln_01_2.tif,0.957,1.947,0.786,0.623,159.622,0.91,1.261,0.793,0.963
1,2,14,20210909_Xyln_01_2.tif,1.924,2.037,0.814,0.609,154.396,0.906,1.336,0.749,0.939
1,2,15,20210909_Xyln_01_2.tif,3.494,2.256,0.75,0.62,127.446,0.939,1.21,0.826,0.951
1,2,16,20210909_Xyln_01_2.tif,5.94,2.249,0.877,0.539,178.759,0.872,1.628,0.614,0.948
1,2,17,20210909_Xyln_01_2.tif,2.734,2.32,0.732,0.541,141.57,0.911,1.353,0.739,0.941
1,2,18,20210909_Xyln_01_2.tif,4.467,2.327,0.748,0.599,162.491,0.925,1.249,0.801,0.941
1,2,19,20210909_Xyln_01_2.tif,0.52,2.583,0.795,0.6,10.492,0.908,1.325,0.755,0.931
1,2,20,20210909_Xyln_01_2.tif,1.481,2.562,0.848,0.492,166.089,0.843,1.723,0.58,0.927
1,2,21,20210909_Xyln_01_2.tif,2.428,2.831,0.826,0.49,138.662,0.854,1.686,0.593,0.931
1,2,22,20210909_Xyln_01_2.tif,4.062,2.862,0.695,0.484,176.322,0.887,1.434,0.697,0.934
1,2,23,20210909_Xyln_01_2.tif,5.006,2.918,0.842,0.571,156.106,0.898,1.475,0.678,0.943
1,2,24,20210909_Xyln_01_2.tif,3.262,2.99,0.72,0.602,156.541,0.924,1.196,0.836,0.946
1,2,25,20210909_Xyln_01_2.tif,1.098,3.09,0.747,0.567,153.519,0.934,1.318,0.759,0.936
1,2,26,20210909_Xyln_01_2.tif,1.874,3.149,0.651,0.571,147.637,0.957,1.141,0.876,0.955
1,2,27,20210909_Xyln_01_2.tif,4.676,3.438,0.9,0.495,152.52,0.832,1.818,0.55,0.931
1,2,28,20210909_Xyln_01_2.tif,0.47,3.485,0.843,0.598,164.485,0.921,1.41,0.709,0.946
1,2,29,20210909_Xyln_01_2.tif,3.936,3.588,0.9,0.583,145.286,0.871,1.544,0.648,0.937
1,2,30,20210909_Xyln_01_2.tif,5.539,3.543,0.695,0.508,159.114,0.909,1.368,0.731,0.937
1,2,31,20210909_Xyln_01_2.tif,2.444,3.559,0.577,0.433,65.986,0.906,1.331,0.751,0.945
1,2,32,20210909_Xyln_01_2.tif,3.172,3.755,0.773,0.553,159.466,0.931,1.399,0.715,0.954
1,2,33,20210909_Xyln_01_2.tif,1.595,3.748,0.886,0.445,173.738,0.804,1.992,0.502,0.943
1,2,34,20210909_Xyln_01_2.tif,0.974,4.105,0.907,0.442,172.054,0.8,2.054,0.487,0.951
1,2,35,20210909_Xyln_01_2.tif,4.81,4.087,0.814,0.469,176.886,0.886,1.737,0.576,0.959
1,2,36,20210909_Xyln_01_2.tif,5.977,4.141,0.899,0.546,165.391,0.856,1.646,0.608,0.939
1,2,37,20210909_Xyln_01_2.tif,3.876,4.258,0.72,0.539,171.956,0.943,1.337,0.748,0.952
1,2,38,20210909_Xyln_01_2.tif,2.067,4.347,0.791,0.566,175.745,0.906,1.397,0.716,0.939
1,2,39,20210909_Xyln_01_2.tif,3.02,4.349,0.918,0.475,157.669,0.803,1.933,0.517,0.934
1,2,40,20210909_Xyln_01_2.tif,5.447,4.631,0.674,0.591,173.662,0.946,1.141,0.876,0.958
1,2,41,20210909_Xyln_01_2.tif,1.265,4.696,0.806,0.574,162.851,0.889,1.405,0.712,0.929
