spp,wl,Transm
A.pras,563.979,0.76795
A.pras,564.255,0.76817
A.pras,564.531,0.76741
A.pras,564.806,0.76768
A.pras,565.082,0.76737
A.pras,565.358,0.76657
A.pras,565.633,0.76639
A.pras,565.909,0.76623
A.pras,566.185,0.76499
A.pras,566.461,0.76543
A.pras,566.736,0.76537
A.pras,567.012,0.76469
A.pras,567.288,0.76366
A.pras,567.563,0.76373
A.pras,567.839,0.76289
A.pras,568.115,0.76252
A.pras,568.39,0.76198
A.pras,568.666,0.7619
A.pras,568.942,0.76185
A.pras,569.217,0.76102
A.pras,569.493,0.76043
A.pras,569.769,0.75957
A.pras,570.044,0.75969
A.pras,570.32,0.75887
A.pras,570.596,0.75811
A.pras,570.871,0.75791
A.pras,571.147,0.75697
A.pras,571.423,0.75637
A.pras,571.698,0.7562
A.pras,571.974,0.75551
A.pras,572.25,0.75468
A.pras,572.525,0.75436
A.pras,572.801,0.754
A.pras,573.077,0.75334
A.pras,573.352,0.75247
A.pras,573.628,0.75189
A.pras,573.903,0.75145
A.pras,574.179,0.75053
A.pras,574.455,0.75022
A.pras,574.73,0.74926
A.pras,575.006,0.74878
A.pras,575.282,0.7484
A.pras,575.557,0.74751
A.pras,575.833,0.74713
A.pras,576.108,0.74623
A.pras,576.384,0.74595
A.pras,576.66,0.74488
A.pras,576.935,0.74451
A.pras,577.211,0.74402
A.pras,577.486,0.74251
A.pras,577.762,0.74205
A.pras,578.038,0.74135
A.pras,578.313,0.74096
A.pras,578.589,0.7402
A.pras,578.864,0.73906
A.pras,579.14,0.73848
A.pras,579.415,0.73753
A.pras,579.691,0.73692
A.pras,579.966,0.73568
A.pras,580.242,0.73508
A.pras,580.518,0.73442
A.pras,580.793,0.73387
A.pras,581.069,0.73333
A.pras,581.344,0.73272
A.pras,581.62,0.73169
A.pras,581.895,0.73025
A.pras,582.171,0.73017
A.pras,582.446,0.72944
A.pras,582.722,0.72883
A.pras,582.997,0.72743
A.pras,583.273,0.72671
A.pras,583.548,0.72554
A.pras,583.824,0.72512
A.pras,584.1,0.72382
A.pras,584.375,0.723
A.pras,584.651,0.72206
A.pras,584.926,0.72176
A.pras,585.202,0.72047
A.pras,585.477,0.71988
A.pras,585.753,0.71937
A.pras,586.028,0.71835
A.pras,586.304,0.71714
A.pras,586.579,0.71575
A.pras,586.855,0.71481
A.pras,587.13,0.71429
A.pras,587.405,0.71404
A.pras,587.681,0.71335
A.pras,587.956,0.71181
A.pras,588.232,0.71125
A.pras,588.507,0.70996
A.pras,588.783,0.70927
A.pras,589.058,0.70834
A.pras,589.334,0.70712
A.pras,589.609,0.7066
A.pras,589.885,0.70533
A.pras,590.16,0.70435
A.pras,590.436,0.70401
A.pras,590.711,0.70245
A.pras,590.986,0.70184
A.pras,591.262,0.70069
A.pras,591.537,0.69984
A.pras,591.813,0.69879
A.pras,592.088,0.69803
A.pras,592.364,0.69709
A.pras,592.639,0.69667
A.pras,592.914,0.69534
A.pras,593.19,0.69444
A.pras,593.465,0.69324
A.pras,593.741,0.69221
A.pras,594.016,0.69186
A.pras,594.291,0.69079
A.pras,594.567,0.68946
A.pras,594.842,0.68856
A.pras,595.118,0.68758
A.pras,595.393,0.68724
A.pras,595.668,0.68587
A.pras,595.944,0.68461
A.pras,596.219,0.68375
A.pras,596.495,0.68295
A.pras,596.77,0.68214
A.pras,597.045,0.68125
